Name,Lat,Long
Montana State Capitol,"46°35'07.50""N","112°01'06.45""W"
Cathedral of Saint Helena,"46°35'27.76""N","112°02'07.34""W"
Last Chance Gulch,"46°35'20.86""N","112°02'20.78""W"
Reeder's Alley,"46°35'12.81""N","112°02'31.69""W"
Mount Helena City Park,"46°34'57.63""N","112°03'20.24""W"
Spring Meadow Lake State Park,"46°36'18.61""N","112°04'08.93""W"
Great Northern Carousel,"46°35'25.92""N","112°01'59.46""W"
Montana Historical Society,"46°35'05.30""N","112°01'04.05""W"
Staggering Ox,"46°37'24.03""N","112°00'02.77""W"
Steve's Cafe,"46°35'34.29""N","112°01'53.11""W"
